code,company_name,gics_sector,gics_industry_group,market_cap_rank
BHP,BHP GROUP LIMITED,Materials,Materials,1
CBA,COMMONWEALTH BANK OF AUSTRALIA,Financials,Banks,2
NEM,NEWMONT CORPORATION,Materials,Materials,3
WBC,WESTPAC BANKING CORPORATION,Financials,Banks,4
NAB,NATIONAL AUSTRALIA BANK LIMITED,Financials,Banks,5
ANZ,ANZ GROUP HOLDINGS LIMITED,Financials,Banks,6
MQG,MACQUARIE GROUP LIMITED,Financials,Financial Services,7
WES,WESFARMERS LIMITED,Consumer Discretionary,Consumer Discretionary Distribution & Retail,8
RIO,RIO TINTO LIMITED,Materials,Materials,9
FMG,FORTESCUE LTD,Materials,Materials,10
GMG,GOODMAN GROUP,Real Estate,Equity Real Estate Investment Trusts (REITs),11
TLS,TELSTRA GROUP LIMITED,Communication Services,Telecommunication Services,12
WDS,WOODSIDE ENERGY GROUP LTD,Energy,Energy,13
XYZ,"BLOCK, INC",Financials,Financial Services,14
CSL,CSL LIMITED,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",15
TCL,TRANSURBAN GROUP,Industrials,Transportation,16
WOW,WOOLWORTHS GROUP LIMITED,Consumer Staples,Consumer Staples Distribution & Retail,17
RMD,RESMED INC,Health Care,Health Care Equipment & Services,18
QBE,QBE INSURANCE GROUP LIMITED,Financials,Insurance,19
SIG,SIGMA HEALTHCARE LIMITED,Health Care,Health Care Equipment & Services,20
NST,NORTHERN STAR RESOURCES LTD,Materials,Materials,21
BXB,BRAMBLES LIMITED,Industrials,Commercial & Professional Services,22
ALL,ARISTOCRAT LEISURE LIMITED,Consumer Discretionary,Consumer Services,23
EVN,EVOLUTION MINING LIMITED,Materials,Materials,24
AMC,AMCOR PLC,Materials,Materials,25
STO,SANTOS LIMITED,Energy,Energy,26
AAI,ALCOA CORPORATION,Materials,Materials,27
NWS,NEWS CORPORATION,Communication Services,Media & Entertainment,28
NWSLV,NEWS CORPORATION,Communication Services,Media & Entertainment,29
REA,REA GROUP LTD,Communication Services,Media & Entertainment,30
PLS,PLS GROUP LIMITED,Materials,Materials,31
ORG,ORIGIN ENERGY LIMITED,Utilities,Utilities,32
LYC,LYNAS RARE EARTHS LIMITED,Materials,Materials,33
S32,SOUTH32 LIMITED,Materials,Materials,34
SCG,SCENTRE GROUP,Real Estate,Equity Real Estate Investment Trusts (REITs),35
SUN,SUNCORP GROUP LIMITED,Financials,Insurance,36
IAG,INSURANCE AUSTRALIA GROUP LIMITED,Financials,Insurance,37
FPH,FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED,Health Care,Health Care Equipment & Services,38
SOL,WASHINGTON H. SOUL PATTINSON AND COMPANY LIMITED,Financials,Financial Services,39
JHX,JAMES HARDIE INDUSTRIES PLC,Materials,Materials,40
SGH,SGH LIMITED,Industrials,Capital Goods,41
APA,APA GROUP,Utilities,Utilities,42
XRO,XERO LIMITED,Information Technology,Software & Services,43
WTC,WISETECH GLOBAL LIMITED,Information Technology,Software & Services,44
BSL,BLUESCOPE STEEL LIMITED,Materials,Materials,45
PME,PRO MEDICUS LIMITED,Health Care,Health Care Equipment & Services,46
QAN,QANTAS AIRWAYS LIMITED,Industrials,Transportation,47
IFT,INFRATIL LIMITED,Industrials,Capital Goods,48
CSC,CAPSTONE COPPER CORP,Materials,Materials,49
MEZ,MERIDIAN ENERGY LIMITED,Utilities,Utilities,50
AIA,AUCKLAND INTERNATIONAL AIRPORT LIMITED,Industrials,Transportation,51
DPM,DPM METALS INC,Materials,Materials,52
TLC,THE LOTTERY CORPORATION LIMITED,Consumer Discretionary,Consumer Services,53
NXG,NEXGEN ENERGY (CANADA) LTD,Energy,Energy,54
VCX,VICINITY CENTRES,Real Estate,Equity Real Estate Investment Trusts (REITs),55
ASX,ASX LIMITED,Financials,Financial Services,56
ALQ,ALS LIMITED,Industrials,Commercial & Professional Services,57
NXT,NEXTDC LIMITED,Information Technology,Software & Services,58
ORI,ORICA LIMITED,Materials,Materials,59
GGP,GREATLAND RESOURCES LIMITED,Materials,Materials,60
CAR,CAR GROUP LIMITED,Communication Services,Media & Entertainment,61
SHL,SONIC HEALTHCARE LIMITED,Health Care,Health Care Equipment & Services,62
SGP,STOCKLAND,Real Estate,Equity Real Estate Investment Trusts (REITs),63
CHC,CHARTER HALL GROUP,Real Estate,Equity Real Estate Investment Trusts (REITs),64
TNE,TECHNOLOGY ONE LIMITED,Information Technology,Software & Services,65
LNW,LIGHT & WONDER INC,Consumer Discretionary,Consumer Services,66
SFR,SANDFIRE RESOURCES LIMITED,Materials,Materials,67
QUB,QUBE HOLDINGS LIMITED,Industrials,Transportation,68
GPT,GPT GROUP,Real Estate,Equity Real Estate Investment Trusts (REITs),69
YAL,YANCOAL AUSTRALIA LIMITED,Energy,Energy,70
RHC,RAMSAY HEALTH CARE LIMITED,Health Care,Health Care Equipment & Services,71
CEN,CONTACT ENERGY LIMITED,Utilities,Utilities,72
LTR,LIONTOWN LIMITED,Materials,Materials,73
AII,ALMONTY INDUSTRIES INC,Materials,Materials,74
